,model,accuracy_interval,mse
0,Perceptron senza standardizzazione,"(0.32924187518956094, 0.33972191479763886)",0.4984906872190109
1,Perceptron con standardizzazione,"(0.6927998284964185, 0.7029990538920304)",0.301669877970456
2,Perceptron con Grid Search,"(0.32878570795115136, 0.3392621729139192)",0.4984906872190109
3,Perceptron con PolynomialFeatures,"(0.7318576307013072, 0.7416398448418068)",0.26249197174052663
4,Logistic Regression senza standardizzazione,"(0.4096709240029316, 0.4206161054489851)",0.5026974951830443
5,Logistic Regression con standardizzazione,"(0.7722971896562784, 0.7815443007339923)",0.21535003211303788
6,Logistic Regression con Grid Search,"(0.7723279160548838, 0.7815745763659852)",0.2153179190751445
7,Logistic Regression con PolynomialFeatures,"(0.7619684488474691, 0.7713631199726341)",0.23246628131021194
8,SVM,"(0.7810497967389304, 0.7901655899352312)",0.20973025048169558
9,Decision Tree,"(0.784999260446297, 0.7940538441960057)",0.20655105973025048
10,XGBoost,"(0.7850219606720868, 0.794076189022998)",0.2069364161849711
11,Modello casuale,"(0.5008359715672366, 0.5119413796410323)",0.49360950545921645
